"item_id","location_id","_date"
"500-063323",14,"2022-01-01"
"500-065980",14,"2022-01-01"
"500-046711",14,"2022-01-01"
"500-019745",14,"2022-01-01"
"500-014143",14,"2022-01-01"
"500-033310",14,"2022-01-01"
"500-022505",14,"2022-01-01"
"500-023096",14,"2022-01-01"
"500-009972",14,"2022-01-01"
"500-028182",14,"2022-01-01"
"500-057085",14,"2022-01-01"
"500-046690",14,"2022-01-01"
"500-051797",14,"2022-01-01"
"500-026038",14,"2022-01-01"
"500-065801",14,"2022-01-01"
"500-002199",14,"2022-01-01"
"500-048364",14,"2022-01-01"
"500-059571",14,"2022-01-01"
"500-066642",14,"2022-01-01"
"500-047303",14,"2022-01-01"
"500-017330",14,"2022-01-01"
"500-009542",14,"2022-01-01"
"500-002456",14,"2022-01-01"
"500-006894",14,"2022-01-01"
"500-035832",14,"2022-01-01"
"500-053988",14,"2022-01-01"
"500-031941",14,"2022-01-01"
"500-053439",14,"2022-01-01"
"500-007539",14,"2022-01-01"
"500-005358",14,"2022-01-01"
"500-065841",14,"2022-01-01"
"500-024619",14,"2022-01-01"
"500-061932",14,"2022-01-01"
"500-052994",14,"2022-01-01"
"500-048324",14,"2022-01-01"
"500-059531",14,"2022-01-01"
"500-066602",14,"2022-01-01"
"500-052425",14,"2022-01-01"
"500-050244",14,"2022-01-01"
"500-056099",14,"2022-01-01"
"500-021736",14,"2022-01-01"
"500-032742",14,"2022-01-01"
"500-025645",14,"2022-01-01"
"500-034050",14,"2022-01-01"
"500-006565",14,"2022-01-01"
"500-004304",14,"2022-01-01"
"500-051218",14,"2022-01-01"
"500-029861",14,"2022-01-01"
"500-020082",14,"2022-01-01"
"500-067479",14,"2022-01-01"
"500-002631",14,"2022-01-01"
"500-062099",14,"2022-01-01"
"500-028264",14,"2022-01-01"
"500-006742",14,"2022-01-01"
"500-034277",14,"2022-01-01"
"500-048103",14,"2022-01-01"
"500-045705",14,"2022-01-01"
"500-054110",14,"2022-01-01"
"500-066994",14,"2022-01-01"
"500-060337",14,"2022-01-01"
"500-062556",14,"2022-01-01"
"500-043017",14,"2022-01-01"
"500-050063",14,"2022-01-01"
