"item_id","location_id","price","vendor_name","income_date","purch_price","price_change_date"
"18-0000008",14,109.0,"",,,
"500-000100",502,139.0,"",,,
"500-000110",502,139.0,"",,,
"500-000120",14,119.0,"",,,
"500-000130",502,109.0,"",,,
"500-000150",14,149.0,"",,,
"500-000722",14,755.9,"",,,
"500-000723",14,254.0,"",,,
"500-000731",502,1599.9,"",,,
"500-000732",502,819.0,"",,,
"500-000734",502,753.0,"",,,
"500-000735",14,7198.9,"",,,
"500-000736",14,778.0,"",,,
"500-000739",502,165.0,"",,,
"500-000740",14,165.0,"",,,
"500-000741",502,165.0,"",,,
"500-000752",502,7264.9,"",,,
"500-000753",14,117.9,"",,,
"500-000757",502,4130.0,"",,,
"500-000766",502,690.0,"",,,
"500-000767",14,690.0,"",,,
"500-000768",502,838.9,"",,,
"500-000769",502,690.0,"",,,
"500-000783",502,1999.0,"",,,
"500-000785",502,1558.9,"",,,
"500-000786",14,1558.9,"",,,
"500-000787",502,1558.9,"",,,
"500-000796",502,983.9,"",,,
"500-000798",502,517.0,"",,,
"500-000802",502,1049.0,"",,,
"500-000803",14,1199.0,"",,,
"500-000804",14,999.9,"",,,
"500-000805",502,859.0,"",,,
"500-000806",502,899.0,"",,,
"500-000809",14,700.0,"",,,
"500-000812",14,917.9,"",,,
"500-000818",14,569.0,"",,,
"500-000820",14,627.9,"",,,
"500-000838",14,999.0,"",,,
"500-000848",14,1199.0,"",,,
"500-000849",14,1699.0,"",,,
"500-000873",14,999.0,"",,,
"500-000883",502,968.0,"",,,
"500-000906",502,2878.9,"",,,
"500-000908",502,2878.9,"",,,
"500-000909",14,3358.9,"",,,
"500-000911",502,1765.9,"",,,
"500-000918",14,499.9,"",,,
"500-000919",502,489.9,"",,,
"500-000929",14,2158.9,"",,,
"500-000931",14,700.0,"",,,
"500-000933",502,3999.0,"",,,
"500-000934",14,5758.9,"",,,
"500-000957",14,778.9,"",,,
"500-000971",502,754.9,"",,,
"500-000972",502,739.9,"",,,
"500-000973",14,742.9,"",,,
"500-000976",14,1999.0,"",,,
"500-000986",14,3598.9,"",,,
"500-000987",502,1999.0,"",,,
"500-000988",14,702.0,"",,,
"500-000989",502,702.0,"",,,
"500-000995",502,411.9,"",,,
"500-000996",14,422.9,"",,,
"500-001007",502,559.0,"",,,
"500-001008",502,419.9,"",,,
"500-001009",502,419.9,"",,,
"500-001017",502,1318.9,"",,,
"500-001018",14,1299.0,"",,,
"500-001019",502,1299.0,"",,,
"500-001020",14,1120.0,"",,,
"500-001021",14,1120.0,"",,,
"500-001032",14,979.0,"",,,
"500-001034",14,979.0,"",,,
"500-001040",14,1299.0,"",,,
"500-001041",14,1299.0,"",,,
"500-001041",502,1299.0,"",,,
"500-001042",14,1299.0,"",,,
"500-001042",502,1299.0,"",,,
"500-001043",14,1299.0,"",,,
"500-001044",14,879.0,"",,,
"500-001058",14,6238.9,"",,,
"500-001069",14,2299.0,"",,,
"500-001080",502,2398.9,"",,,
"500-001086",502,729.9,"",,,
"500-001090",502,8038.9,"",,,
"500-001117",14,995.9,"",,,
"500-001118",14,995.9,"",,,
"500-001121",14,999.9,"",,,
"500-001129",502,769.0,"",,,
"500-001131",502,699.0,"",,,
"500-001132",502,699.0,"",,,
"500-001133",14,769.0,"",,,
"500-001133",502,769.0,"",,,
"500-001180",502,233.0,"",,,
"500-001187",14,2590.0,"",,,
"500-001188",14,3299.9,"",,,
"500-001192",502,2029.9,"",,,
"500-001194",502,2669.9,"",,,
"500-001196",502,1499.9,"",,,
"500-001201",14,2052.0,"",,,
"500-001202",14,885.0,"",,,
"500-001203",14,1505.9,"",,,
"500-001204",502,1416.9,"",,,
"500-001205",502,2645.9,"",,,
"500-001207",14,1703.9,"",,,
"500-001208",14,6999.9,"",,,
"500-001209",14,5573.0,"",,,
"500-001211",14,13104.0,"",,,
"500-001212",14,4319.9,"",,,
"500-001215",14,4133.0,"",,,
"500-001216",502,1994.9,"",,,
"500-001217",502,3145.0,"",,,
"500-001218",502,5665.0,"",,,
"500-001219",502,7079.9,"",,,
"500-001221",14,3406.9,"",,,
